BUILD_IDENTIFIER,START,END,LAMBDA,PERIOD,TEST_NAME,MICRO_SCORE_NAME,SCORE_NAME,VERDICT_SET_NAME,FLAKINESS_SCORE,CONFIDENCE,STANDARD_DEVIATION,MARGIN_OF_ERROR_SD,SCORE_CREATION_TIME,LAST_INCLUDED_RUN_INSTANT,VERSIONS
BUILD_1754573575007,2026-04-15T14:06:41Z,2029-01-09T14:10:55Z,0.1,6047,tc1874,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.10843373493975904,0.9367544467966324,0.0,0.0,2025-08-07T13:32:56.133764Z,2026-12-21T13:52:54Z,{v1}
BUILD_1754573575007,2026-04-15T14:06:41Z,2029-01-09T14:10:55Z,0.1,6047,tc1874,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.07429718875502009,0.9552786404500042,0.024138183293516677,0.1524024913309456,2025-08-07T13:32:56.134720Z,2027-08-27T18:43:02Z,{v1~v2}
BUILD_1754573575007,2026-04-15T14:06:41Z,2029-01-09T14:10:55Z,0.1,6047,tc1874,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.07362784471218208,0.9634851628329889,0.019904780838635373,0.04109822913265416,2025-08-07T13:32:56.135060Z,2028-05-04T06:36:04Z,{v1~v2~v3}
BUILD_1754573575007,2026-04-15T14:06:41Z,2029-01-09T14:10:55Z,0.1,6047,tc1874,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.06927710843373494,0.9683772233983162,0.018153450804492734,0.02466536613826727,2025-08-07T13:32:56.135324Z,2029-01-09T11:41:29Z,{v1~v2~v3~v4}
BUILD_1754573575007,2026-04-15T14:06:41Z,2029-01-09T14:10:55Z,0.1,6047,tc1882,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.20080321285140562,0.9367544467966324,0.0,0.0,2025-08-07T13:32:56.135784Z,2026-12-21T02:48:39Z,{v1}
BUILD_1754573575007,2026-04-15T14:06:41Z,2029-01-09T14:10:55Z,0.1,6047,tc1882,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.1887550200803213,0.9552786404500042,0.008519358809476464,0.05378911458739251,2025-08-07T13:32:56.135941Z,2027-08-28T01:00:48Z,{v1~v2}
BUILD_1754573575007,2026-04-15T14:06:41Z,2029-01-09T14:10:55Z,0.1,6047,tc1882,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.16599732262382866,0.9634851628329889,0.017675414832965957,0.03649516438834356,2025-08-07T13:32:56.136140Z,2028-05-03T20:43:57Z,{v1~v2~v3}
BUILD_1754573575007,2026-04-15T14:06:41Z,2029-01-09T14:10:55Z,0.1,6047,tc1882,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.15863453815261044,0.9683772233983162,0.019609038922744647,0.02664309556667487,2025-08-07T13:32:56.136286Z,2029-01-08T22:29:58Z,{v1~v2~v3~v4}
BUILD_1754573575007,2026-04-15T14:06:41Z,2029-01-09T14:10:55Z,0.1,6047,tc1881,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.10843373493975904,0.9367544467966324,0.0,0.0,2025-08-07T13:32:56.136591Z,2026-12-21T11:29:53Z,{v1}
BUILD_1754573575007,2026-04-15T14:06:41Z,2029-01-09T14:10:55Z,0.1,6047,tc1881,MULTI_TRANSITION_RATE,UA_UNWEIGHTED_SCORE,Verdicts[ALL],0.11847389558232932,0.9552786404500042,0.0070994656745637305,0.044824262156160484,2025-08-07T13:32:56.136728Z,2027-08-27T20:05:57Z,{v1~v2}
